new entry "SHADOW_DAGGER"
type "Weapon"
using "WPN_Dagger"
data "RootTemplate" "b6f02346-c1d0-4196-8221-acef3df78226"
data "Slot" "Melee Main Weapon"
data "Level" "1"
data "Damage Type" "Piercing"
data "Damage" "1d7+3"
data "Rarity" "Uncommon"
data "Weight" "1"
data "ValueOverride" "1"
data "Weapon Group" "SimpleMeleeWeapon"
data "Proficiency Group" "Daggers;SimpleWeapons"
data "Damage Range" "200"
data "WeaponRange" "200"
data "ValueScale" "0.5"
data "BoostsOnEquipMainHand" "UnlockSpell(Target_PiercingThrust);UnlockSpell(Projectile_MobileShooting);UnlockSpell(Target_CripplingStrike)"
data "PassivesOnEquip" "MAG_TheHunters_Dagger_Passive"
data "Weapon Properties" "Finesse;Light;Thrown;Melee;Dippable"
data "DefaultBoosts" "WeaponEnchantment(2)
